id;question;expected_answer;context_hint;category;difficulty;Reference_Chunks
56;Welche Bachelorstudiengänge kann ich an der WiSo-Fakultät studieren?;"An der WiSo-Fakultät kannst du aktuell sieben eigene Bachelorstudiengänge studieren: Betriebswirtschaftslehre, Volkswirtschaftslehre, Management, Economics and Social Sciences, Sozialwissenschaften, Gesundheitsökonomie, Wirtschaftsinformatik sowie das Lehramt Berufskolleg mit Unterrichtsfach Wirtschaftswissenschaften. Die meisten dieser Studiengänge sind als 1-Fach-Bachelor mit Abschluss Bachelor of Science angelegt und lassen sich nicht mit anderen Fächern kombinieren; Lehramt Berufskolleg wird als Bachelor of Arts mit einem zweiten Unterrichtsfach außerhalb der WiSo-Fakultät angeboten. Nur Betriebswirtschaftslehre und Volkswirtschaftslehre starten jeweils zum Winter- und Sommersemester, alle übrigen WiSo-Bachelorprogramme beginnen nur zum Wintersemester. Darüber hinaus gibt es Verbund- und Kombinationsstudiengänge anderer Fakultäten, in denen du WiSo-Fächer einbringen kannst – zum Beispiel Medienwissenschaften und verschiedene Regionalstudien an der Philosophischen Fakultät oder Mathematik, Wirtschaftsmathematik, Geographie und Psychologie, in denen wirtschafts- und sozialwissenschaftliche Fächer an der WiSo-Fakultät als Wahlpflicht-, Neben- oder Ergänzungsfächer studiert werden können.";https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;hard;"2. Welche (grundständigen) Bachelorstudiengänge können an der WiSo-Fakultät studiert werden?
An der Wiso-Fakultät der Universität zu Köln können momentan sieben Bachelorstudiengänge studiert werden:

Betriebswirtschaftslehre
Volkswirtschaftslehre
Management, Economics and Social Sciences
Sozialwissenschaften
Gesundheitsökonomie
Wirtschaftsinformatik
Lehramt Berufskolleg
Alle diese Bachelorstudiengänge (außer Lehramt BK) sind Bachelor of Science-Studiengänge und sogenannte 1-Fach-Bachelor. D.h. Sie können nicht mit anderen Studiengängen der Uni Köln kombiniert werden. Neben den Fachstudiengängen bieten wir außerdem das Bachelor of Arts-Programm ""Lehramt Berufskolleg"" an. Hier studieren Sie das Unterrichtsfach ""Wirtschaftswissenschaften"" in Kombination mit einem anderen Unterrichtsfach, welches nicht an der WiSo-Fakultät angesiedelt ist.
Nur die Bachelorstudiengänge Betriebs- und Volkswirtschaftslehre werden zum Winter- und Sommersemester angeboten, alle übrigen Bachelorstudiengänge starten nur zum Wintersemester.

Die Philosophische Fakultät bietet folgende Verbundstudiengänge an, die ein wirtschafts- und sozialwissenschaftliches Wahlpflichtfach umfassen, welches dann an der WiSo-Fakultät verortet ist:

Medienwissenschaften
Regionalstudien China
Regionalstudien Ost- und Mitteleuropa
Regionalstudien Lateinamerika
Zudem gibt es noch einige andere Studiengänge, in denen in verschiedenem Umfang Leistungen in Neben- oder Ergänzungsfächern an der WiSo-Fakultät studiert werden dürfen.
An der Mathematisch-Naturwissenschaftlichen Fakultät sind das:

Mathematik und Wirtschaftsmathe (Nebenfächer Wirtschaftswissenschaften oder VWL)
Geographie (Nebenfächer BWL, VWL oder SOWI)
An der Humanwissenschaftlichen Fakultät ist das der Studiengang:

Psychologie (Interdisziplinäre Vernetzung BWL oder VWL oder Sozialwissenschaften)"
57;Welche Masterstudiengänge können an der WiSo-Fakultät studiert werden?;An der WiSo-Fakultät kannst du derzeit folgende Masterstudiengänge studieren: Business Administration (mit fünf verschiedenen Spezialisierungen), International Management (CEMS MIM), Business Analytics and Econometrics, Economics, Economic Research, Politikwissenschaft, Sociology: Social Research, Sociology: Social and Economic Psychology, Gesundheitsökonomie, Information Systems sowie Wirtschaftspädagogik (M.Ed.). Politikwissenschaft wird als Master of Arts angeboten, Wirtschaftspädagogik – mit zwei Ausrichtungen – als Master of Education beziehungsweise Master of Science, alle übrigen Programme führen zum Abschluss Master of Science.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"3. Welche Masterstudiengänge können an der WiSo-Fakultät studiert werden?
Folgenden Masterstudiengänge werden an der WiSo-Fakultät angeboten:

Business Administration (mit 5 verschiedenen Spezialisierungen)
International Management (CEMS MIM)
Business Analytics and Econometrics
Economics
Economic Research
Politikwissenschaft
Sociology: Social Research
Sociology: Social and Economic Psychology
Gesundheitsökonomie
Information Systems
Wirtschaftspädagogik (M.Ed.)
Beim Masterstudiengang Politikwissenschaft handelt es sich um einen Master of Arts, beim Masterstudiengang Wirtschaftspädagogik mit zwei Ausrichtungen um einen Master of Education/Master of Science. Die anderen Masterstudiengänge sind Master of Science. Nähere Informationen zu den einzelnen Studiengängen finden Sie auf unseren Internetseiten."
58;Wieviel kostet ein Studium an der Universität zu Köln?;An der Universität zu Köln zahlst du keine Studiengebühren. Stattdessen wird pro Semester ein Semesterbeitrag fällig. In diesem Beitrag ist unter anderem das NRW-Semesterticket enthalten, mit dem du in ganz Nordrhein-Westfalen den öffentlichen Personennahverkehr nutzen kannst. Nicht abgedeckt sind davon deine Lebenshaltungskosten, die Verpflegung in der Mensa oder Ausgaben für Lernmaterialien.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"4. Wieviel kostet ein Studium an der Universität zu Köln?
Studiengebühren gibt es an der Universität zu Köln nicht, dafür wird pro Semester ein Semesterbeitrag fällig. Im Semesterbeitrag enthalten ist u.a. das NRW-Semesterticket, mit dem Sie in ganz Nordrhein-Westfalen den öffentlichen Personennahverkehr nutzen können. Nicht enthalten sind hier Kosten zum Lebensunterhalt, Verpflegung in der Mensa oder Lernmaterialien. Eine Orientierung zu weiteren Kosten finden Sie u.a. hier."
59;Was zeichnet das Studium an der Wiso Fakultät aus?;Ein Studium an der WiSo-Fakultät gilt als sehr gute Basis für deine beruflichen und persönlichen Pläne. Mit rund 9.000 Studierenden und vielen Professuren gehört die Fakultät zu den renommierten wirtschafts- und sozialwissenschaftlichen Fakultäten in Europa, was sich auch in guten Platzierungen in verschiedenen Rankings widerspiegelt. Charakteristisch ist die enge Verbindung von Forschung und Lehre, Theorie und Praxis sowie Wirtschafts- und Sozialwissenschaften im Sinne des Leitbilds „Today’s ideas. Tomorrow’s impact“: Im Studium arbeitest du mit modernen Analysemethoden und Modellen an Lösungen für aktuelle wirtschafts- und sozialwissenschaftliche Fragestellungen. Zusätzlich profitierst du vom Standort Köln mit einer vielfältigen Kulturszene und einem starken Wirtschaftsraum.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"5. Was zeichnet das Studium an der Wiso Fakultät aus?
Ein Studium an der WiSo-Fakultät der Universität zu Köln stellt eine hervorragende Ausgangsbasis für Ihre weiteren professionellen und persönlichen Pläne dar. Mit ca. 9.000 Studierenden und einer Vielzahl an Professuren und wissenschaftlichen Mitarbeitern ist die Fakultät eine der wissenschaftlich renommiertesten Fakultäten für Wirtschafts- und Sozialwissenschaften in Europa.

Entscheidende Rankings bewerten die Qualität von Forschung und Lehre an Hochschulen und der Fakultätsentwicklung anhand verschiedener Kriterien. Die WiSo-Fakultät freut sich, ihre Position in vielen renommierten Rankings behaupten und in einigen Fällen ausbauen zu können.

Die Verbindung von Forschung und Lehre, Theorie und Praxis, Wirtschafts- und Sozialwissenschaften begründet unser Leitbild: „Today's ideas. Tomorrow's impact"". Innerhalb Ihres Studiums erarbeiten Sie mit Hilfe moderner Analysemethoden und Modelle neue Lösungsansätze für relevante wirtschafts- und sozialwissenschaftliche Zukunftsfragen.

Köln ist nicht nur als Studienort eine attraktive Stadt. Sie ist weit über den Karneval hinaus für ihre vielfältige Kulturszene bekannt und stellt zusammen mit dem Umland einen der bedeutendsten Wirtschaftsstandorte in Deutschland dar."
60;Kann ich an der WiSo-Fakultät ein Studium aufnehmen, wenn ich einen gleichwertigen Studiengang oder eine dort verortete Prüfung endgültig nicht bestanden habe?;Das lässt sich leider nicht pauschal beantworten. Grundsätzlich sieht die Prüfungsordnung vor, dass ein Studium an der WiSo-Fakultät ausgeschlossen ist, wenn du in einem vergleichbaren Studiengang oder Modul den Prüfungsanspruch verloren hast bzw. der Studiengang oder das Modul als endgültig nicht bestanden gilt. Ob das in deinem konkreten Fall zutrifft, muss im Einzelfall durch das Prüfungsamt geprüft werden. Am besten wendest du dich per Mail an den WiSo Student Service Point – die Studienberater:innen unterstützen dich dort gerne weiter.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"1. Kann ich an der WiSo-Fakultät ein Studium aufnehmen, wenn ich einen gleichwertigen Studiengang bzw. eine dort verortete Prüfung endgültig nicht bestanden habe?
Pauschal lässt sich nicht beantworten, ob Sie nach dem Verlust des Prüfungsanspruches das Studium bei uns fortsetzen können. Grundsätzlich enthält unsere Prüfungsordnung einen Passus, welcher besagt, dass ein Studium bei uns ausgeschlossen ist, wenn in einem vergleichbaren Studiengang und/oder Modul der Prüfungsanspruch verloren wurde bzw. der Studiengang oder das Modul als endgültig nicht bestanden gilt. Ob dies auf Ihren Bachelor zutrifft, muss im Einzelfall durch das Prüfungsamt geklärt werden.

Bitte wenden Sie sich am besten per Mail an den WiSo Student Service Point. Die WiSo-Studienberater:innen helfen Ihnen dann gerne weiter."
61;Sind Pflichtpraktika an der Wiso-Fakultät vorgesehen?;Pflichtpraktika, die in der Prüfungsordnung festgeschrieben sind und zwingend absolviert werden müssen, gibt es in den Bachelor- und Masterstudiengängen der WiSo-Fakultät grundsätzlich nicht. Die einzige Ausnahme stellt M.Sc. International Management dar. Als Ergänzung zum Studium empfiehlt die Fakultät jedoch freiwillige, nicht an Lehrveranstaltungen gebundene Praktika, die dir Einblicke in für deinen Studiengang relevante Praxisfelder geben. Für Bewerbungen können dir die Studienberater:innen im WiSo Student Service Point bei Bedarf eine Praktikumsförderlichkeitsbescheinigung ausstellen.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"1. Sind Pflichtpraktika an der Wiso-Fakultät vorgesehen?
Pflichtpraktika, die anhand der Prüfungsordnung festgeschrieben sind und zwingend absolviert werden müssen, sind in den Bachelor- und Masterstudiengängen der WiSo-Fakultät nicht vorgesehen (Ausnahme: M.Sc. International Management). Als Ergänzung des Studiums werden jedoch von Lehrveranstaltungen unabhängige Praktika empfohlen, die eine Anschauung der für den gewählten Studiengang bedeutsamen Praxis vermitteln. Zu diesem Zweck stellen die Studienberater*innen im WiSo Student Service Point bei Bedarf für Bewerbungen eine Praktikumsförderlichkeitsbescheinigung aus."
62;Wann erhalte ich mein Zeugnis?;Dein endgültiges Zeugnis und deine Bachelor- bzw. Masterurkunde bekommst du in der Regel bei der Examensfeier der WiSo-Fakultät, die zweimal im Jahr stattfindet – üblicherweise im Juni/Juli sowie im November/Januar. Etwa zwei bis drei Wochen nachdem deine letzte Prüfungsleistung bestanden ist, schickt dir das WiSo-Prüfungsamt automatisch eine vorläufige Studienabschlussbescheinigung zu. In dieser Bescheinigung steht auch, bei welcher Abschlussfeier du dein Zeugnis erhältst. Wenn du an dieser Feier nicht teilnehmen kannst oder möchtest, kannst du dein Zeugnis ab dem ersten darauffolgenden Werktag während der Öffnungszeiten am Empfang des WiSo Student Service Point (WiSSPo) abholen oder eine andere Person mit Vollmacht damit beauftragen. Ab diesem Zeitpunkt ist auf Wunsch auch eine postalische Zusendung von Zeugnis und Urkunde möglich. Dafür stellst du ab dem ersten Werktag nach der jeweiligen Abschlussfeier einen schriftlichen Antrag beim WiSo-Prüfungsamt, am besten über das Online-Formular des WiSSPo – beachte dabei, dass Zeugnis und Urkunde nur einmal ausgestellt werden und bei Verlust oder Beschädigung auf dem Postweg nicht erneut ausgestellt werden können.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;hard;"1. Wann erhalte ich mein Zeugnis?
Verleihung bei der Examensfeier
Das endgültige Zeugnis sowie die Bachelor- oder Masterurkunde werden nur auf der zweimal jährlich von der Fakultät ausgerichteten Examensfeier ausgegeben. Bachelor- und Masterabsolvent:innen erhalten sowohl ein Transcript of Records, auf dem alle einzelnen Prüfungsleistungen, Modulnamen und -noten aufgeführt sind als auch ein Diploma Supplement. Letzteres enthält u.a. Informationen zum deutschen Hochschul- und Notensystem sowie dem Status der Qualifizierung der Absolvent*innen. Die Feier findet in der Regel im Juni/Juli bzw. November/Januar eines Jahres statt.

Die vorläufige Studienabschlussbescheinigung, welche Ihnen automatisch innerhalb von 2-3 Wochen nach Erhalt des letzten, bestandenen Prüfungsergebnisses vom WiSo-Prüfungsamt postalisch zugeschickt wird, enthält eine Angabe darüber, bei welcher Abschlussfeier Sie Ihr Zeugnis erhalten können.

Abhloung des Zeugnisses im WiSSPo
Sofern Sie an der jeweiligen Feier nicht teilnehmen können oder möchten, können Sie ab dem ersten, darauffolgenden Werktag die Unterlagen während der Öffnungszeiten am Empfang des WiSo Student Service Point abholen. Sofern Sie eine andere Person mit der Abholung beauftragen möchten, beachten Sie bitte, dass diese Person eine von Ihnen ausgestellte Vollmacht vorlegt.

Postalische Zusendung des Zeugnisses
Grundsätzlich besteht ab diesem Zeitpunkt auch die Möglichkeit, Zeugnis und Urkunde per Briefpost zugesandt zu bekommen. Bitte beachten Sie aber, dass Zeugnis und Urkunde nur einmal ausgestellt werden können. Gehen diese auf dem Postweg verloren oder werden sie beschädigt, kann kein weiteres Exemplar ausgestellt werden. Sofern Sie trotzdem eine postalische Zustellung wünschen, können Sie ab dem ersten Werktag nach der jeweiligen Abschlussfeier einen schriftlichen Antrag im WiSo-Prüfungsamt stellen. Den Antrag reichen Sie am besten per Mail über das Online-Formular des WiSSPo ein."
63;Welche Gründe kann es für eine Exmatrikulation geben?;Es gibt an der Universität zu Köln verschiedene Gründe, aus denen du dich exmatrikulieren lassen kannst. Dazu gehören die Beendigung deines Studiums nach bestandener Abschlussprüfung, ein Hochschulwechsel, die Aufgabe oder längere Unterbrechung des Studiums, eine endgültig nicht bestandene Abschlussprüfung sowie sonstige Gründe.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;medium;"2. Welche Gründe kann es für eine Exmatrikulation geben?
Es kann verschiedene Gründe für die Exmatrikulation geben:

Beendigen des Studiums nach abgeschlossener Prüfung
Hochschulwechsel
Aufgabe oder Unterbrechung des Studiums
Abschlussprüfung endgültig nicht bestanden
Sonstige Gründe"
64;Mein Abiturschnitt erfüllt nicht den NC vom letzten Bewerbungsverfahren für einen WiSo-Bachelorstudiengang. Macht eine Bewerbung trotzdem Sinn?;Ja, eine Bewerbung kann sich trotzdem lohnen. Die Bachelorstudiengänge an der WiSo-Fakultät sind zwar alle zulassungsbeschränkt, aber der NC entsteht in jedem Verfahren neu. 80 % der Studienplätze werden über die Hochschulquote der Universität zu Köln und 20 % über die Abiturbestennote vergeben. Zusätzlich können bis zu sechs Wartesemester berücksichtigt werden. Informationen zum örtlichen Auswahlverfahren findest du beim Studierendensekretariat, Ausnahmen sind nur über Sonder- oder Härtefallanträge möglich. Die NC-Werte der vergangenen Jahre sind für zukünftige Verfahren nicht verbindlich, erfahrungsgemäß bewegen sie sich aber in einem ähnlichen Bereich. Grundsätzlich empfiehlt die Fakultät, sich zu bewerben, weil du nur im offiziellen Bewerbungsverfahren eine verbindliche Rückmeldung über eine Zulassung oder Ablehnung erhältst.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/bachelor/studienwahl-und-bewerbung;FAQ;medium;"1. Mein Abiturschnitt erfüllt nicht den NC vom letzten Bewerbungsverfahren, macht eine Bewerbung trotzdem Sinn?
Die Bachelorstudiengängen an der WiSo-Fakultät sind alle zulassungsbeschränkt. 80% der Plätze werden über die Hochschulquote der UzK, 20% über die Abiturbestennote vergeben. Zusätzlich können bis zu sechs Wartesemester berückscihtigt werden. Informationen zum Örtlichen Auswahlverfahren bietet das Studierendensekretariat. Eine andere Möglichkeit, zum ersten Fachsemester zugelassen zu werden, gibt es nicht. Ausnahmen sind nur über Sonder- oder Härtefallanträge möglich, weitere Informationen finden Sie dazu hier. Die NC-Werte der letzten Jahre sind für zukünftige Auswahlverfahren nicht verbindlich, da sich der NC immer erst im laufenden Verfahren ergibt. Es ist allerdings davon auszugehen, dass sie sich in etwa bestätigen und nur wenig verändern werden. Grundsätzlich empfehlen wir aber, sich zu bewerben, da Sie nur im offiziellen Bewerbungsverfahren auch eine verbindliche Rückmeldung erhalten."
65;Ich studiere im Bachelor woanders und möchte an die WiSo Köln wechseln. Was muss ich tun?;"Wenn du aus einem laufenden Bachelorstudium an eine WiSo-Bachelorstudiengang der Uni Köln wechseln möchtest, hast du grundsätzlich zwei Wege: Du kannst dich entweder auf das 1. Fachsemester bewerben oder – falls du schon anrechenbare Leistungen mitbringst – auf ein höheres Fachsemester.

Für das 1. Fachsemester läuft die Bewerbung über hochschulstart.de und das Online-Portal KLIPS 2.0 der Universität zu Köln. Wenn du dort eine Zulassung erhältst und dich einschreibst, können gleichwertige Leistungen aus deinem bisherigen Studium nachträglich angerechnet werden. Vor der Bewerbung und Einschreibung können keine verbindlichen Aussagen zur Anrechenbarkeit gemacht werden; die WiSo empfiehlt daher grundsätzlich die Bewerbung auf das 1. Fachsemester.

Alternativ kannst du dich auf ein höheres Fachsemester bewerben. Dann werden freie Plätze in dem jeweiligen Fachsemester vergeben, und eine Aufnahme ist nur möglich, wenn es dort tatsächlich freie Studienplätze gibt. Welche Leistungen dir im Detail anerkannt werden, wird erst nach der Einschreibung entschieden.

Beim höheren Fachsemester wird zwischen Ortswechsel und Quereinstieg unterschieden: Studierst du aktuell denselben Studiengang an einer anderen Universität in Deutschland, giltst du als Ortswechsler:in. In diesem Fall kontaktierst du zunächst den WiSo Student Service Point mit dem entsprechenden Formular und einer aktuellen Studienbescheinigung. Das WiSo-Prüfungsamt bestätigt dir dann ggf. den Ortswechsel-Status, mit dem du dich beim Studierendensekretariat für ein höheres Fachsemester bewerben kannst.

Studierst du hingegen einen anderen Studiengang, an einer Fachhochschule oder im Ausland, giltst du bei der Bewerbung ins höhere Fachsemester als Quereinsteiger:in. Hier wird vorausgesetzt, dass du bereits anrechenbare ECTS erworben hast – zum Beispiel mindestens 15 ECTS für eine Einstufung ins zweite und mindestens 45 ECTS für das dritte Fachsemester. Da nur äquivalente Leistungen anerkannt werden und sich Studienstrukturen unterscheiden, musst du grundsätzlich mit einem gewissen Verlust einzelner Leistungen rechnen. Für die Bewerbung als Quereinsteiger:in brauchst du das Formblatt zum Quereinstieg/Ortswechsel sowie eine Fachsemestereinstufung durch das WiSo-Prüfungsamt; mit dieser Einstufung bewirbst du dich dann über das Studierendensekretariat auf das entsprechende höhere Fachsemester.

Die verbindlichen Bewerbungsfristen für höhere Fachsemester veröffentlicht das Studierendensekretariat – in der Regel sind das der 15. September für das Wintersemester und der 15. März für das Sommersemester. Damit diese Fristen eingehalten werden können, müssen deine Unterlagen spätestens acht Wochen vorher postalisch beim WiSo-Prüfungsamt eingehen, also in der Regel bis zum 15. Juli bzw. 15. Januar.";https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/bachelor/studienwahl-und-bewerbung;FAQ;hard;"2. Ich studiere im Bachelor woanders und möchte an die Universität zu Köln wechseln. Was muss ich tun?
Sie haben grundsätzlich zwei Möglichkeiten, wenn Sie zu einem Bachelorstudiengang wechseln möchten und bereits in einem Bachelor an einer anderen Hochschule studieren:

(1) Die Bewerbung zum 1. Fachsemester. Die Bewerbung erfolgt über hochschulstart.de und das Online-Portal KLIPS 2.0 der Universität zu Köln. Erhalten Sie hier eine Zulassung, können nach der Einschreibung gleichwertige Leistungen, die Sie bereits anderswo erbracht haben, angerechnet werden. Vorab der Bewerbung und Einschreibung ist es nicht möglich, Auskünfte über die mögliche Anrechenbarkeit von Leistungen zu geben. Wir empfehlen grundsätzlich die Bewerbung auf das 1. Fachsemester.

(2) Bei der Bewerbung auf das höhere Fachsemester werden freie Plätze in dem entsprechenden Fachsemester zugeteilt. Sind keine Studienplätze in dem Semester frei, ist die Chance auf einen Studienplatz in dem Semester nicht gegeben. Welche konkreten Leistungen Ihnen angerechnet werden, wird erst nach der Einschreibung entschieden.

Studieren Sie derzeit den gleichen Studiengang an einer Universität innerhalb Deutschlands, gelten Sie bei der Bewerbung zum höheren Fachsemester als Ortswechsler:in: In diesem Fall wenden Sie sich zunächst mit diesem ausgefüllten Formular und einer aktuellen Studienbescheinigung per Mail an den WiSo Student Service Point. Wird Ihnen der Ortswechsel-Status vom WiSo-Prüfungsamt bescheinigt, können Sie sich mit der Bescheinigung auf das höhere Fachsemester beim Studierendensekretariat bewerben.

Studieren Sie derzeit einen anderen Studiengang oder an einer FH oder im Ausland, sind Sie bei der Bewerbung zum höheren Fachsemester ein Quereinsteiger:in: Hier wird vorausgesetzt, dass bereits anrechenbare Leistungspunkte erworben wurden, um Sie in ein höheres Fachsemester einstufen zu können. Um in das zweite Fachsemester eingestuft werden zu können, müssen Sie mindestens 15 anrechenbare, bestandene ECTS nachweisen, äquivalent für das dritte Fachsemester dann mindestens 45 ECTS und so fort. Da lediglich äquivalente Leistungen anerkannt werden können und sich die Struktur der Bachelorstudiengänge von Hochschule zu Hochschule sehr unterscheiden, ist zudem grundsätzlich mit einem ""Verlust"" bezüglich einzelner Leistungen zu rechnen.

Um sich auf ein höheres Fachsemester als Quereinsteiger zu bewerben, benötigen Sie das Formblatt zum Quereinstieg/Ortswechsel und eine Fachsemestereinstufung vom WiSo-Prüfungsamt. Anhand dieser Fachsemestereinstufung können Sie sich dann über das Studierendensekretariat auf ein höheres Fachsemester bewerben.

Die verbindlichen Bewerbungsfristen entnehmen Sie bitte der Website des Studierendensekretariats: i.d.R. 15. September für das Wintersemester, 15. März für das Sommersemester. Damit diese Fristen eingehalten werden können, müssen die Bewerbungsunterlagen spätestens acht Wochen vor dieser Frist beim WiSo-Prüfungsamt postalisch eingehen. Das sind somit der 15.01. bzw. 15.07."
66;Sind die Online-Selfassessments verpflichtend?;Die Online-Selfassessments dienen vor allem dazu, zu prüfen, ob der Studiengang zu deinen Interessen und Erwartungen passt, und werden daher vor der Bewerbung dringend empfohlen. Verbindlich vorgeschrieben sind sie aber nur im Bachelor Volkswirtschaftslehre: Für den B.Sc. VWL ist die vorherige Durchführung des OSA eine Einschreibungsvoraussetzung.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/bachelor/studienwahl-und-bewerbung;FAQ;medium;"3. Sind die Online-Selfassessments (OSA) verpflichtend?
Mit Hilfe eines Online-Self-Assessments (OSA) können Sie herausfinden, ob Ihre persönlichen Interessen, Erwartungen und Kompetenzen mit den Anforderungen und Inhalten des Bachelorstudiengangs übereinstimmen. Daher ist die Durchführung VOR der Bewerbung sehr empfehlenswert.
Derzeit gibt es ein OSA für den B.Sc. Volkswirtschaftslehre und für den B.Sc. Management, Economics and Social Sciences. 
Für den B.Sc. VWL ist die vorherige Durchführung des OSA eine Vorausssetzung für die Einschreibung."
67;Kann ich ein Modul im Masterstudium mehrfach absolvieren?;Nein, ein Modul kannst du nur einmal absolvieren. Sobald du die zugehörige Prüfungsleistung in einem Modul bestanden hast (zum Beispiel eine 120-minütige Klausur), gilt das Modul als bestanden und eine Wiederholung ist ausgeschlossen. Du kannst das Modul dann auch nicht noch einmal mit einer anderen Lehrveranstaltung belegen. Ein Beispiel: Wenn du im M.Sc. Business Administration – Marketing im Schwerpunktbereich das Modul „SM Brand Management“ mit der Lehrveranstaltung „Brand Management“ erfolgreich abgeschlossen hast, darfst du eine später im selben Modul angebotene Veranstaltung wie „Digital Brand and Customer Analytics“ nicht mehr absolvieren, weil das Modul bereits als bestanden gilt. Wenn du dazu Fragen hast, kannst du dich an die Studienberater:innen im WiSo Student Service Point wenden.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/master/fragen-im-masterstudium;FAQ;medium;"3. Kann ich ein Modul mehrfach absolvieren?
Ein Modul kann nur einmal absolviert werden. Sobald die entsprechende Prüfungsleistung in dem Modul bestanden ist (z.B. eine 120-minütige Klausur), gilt das Modul als bestanden und eine Wiederholung ist dann ausgeschlossen. Auch ist es nicht möglich, das Modul dann nochmals mit einer anderen Lehrveranstaltung zu absolvieren. Beispiel: Sie absolvieren im M.Sc. Business Administration - Marketing im Schwerpunktbereich das SM Brand Management mit der gleichnamigen Lehrveranstaltung ""Brand Management"" und bestehen die Prüfungsleistung. Im darauffolgenden Semester wird im gleichen Modul aber eine andere Lehrveranstaltung angeboten, z.B. ""Digital Brand and Customer Analytics"". Jene darf dann nicht mehr absolviert werden, da das Modul aufgrund der anderen Lehrveranstaltung bereits als bestanden gilt. Sollten Sie dazu Fragen haben, wenden Sie sich gerne an die WiSo-Studienberaterinnen im WiSo Student Service Point."
68;Kann ich während meines Masters Sprachkurse an der Universität zu Köln absolvieren?;Ja, während deines Masters kannst du an der Universität zu Köln verschiedene Sprachkurse belegen. Über das Extracurriculare Angebot in KLIPS werden häufig Sprachkurse der Philosophischen Fakultät oder des Professional Centers angeboten, die auch für WiSo-Masterstudierende geöffnet sind. Internationale Masterstudierende können zudem an Deutschkursen teilnehmen, die vom International Office organisiert werden. Darüber hinaus bietet das Zentrum für Internationale Beziehungen fachspezifische Kurse in Business English an. Pro Studienabschnitt können WiSo-Studierende in der Regel einen solchen Kurs kostenfrei belegen.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/master/fragen-im-masterstudium;FAQ;medium;"4. Kann ich während meines Masters Sprachkurse an der Universität zu Köln absolvieren?
Schauen Sie gerne beim Extracurricularen Angebot in KLIPS rein. Dort sind oft auch Sprachkurse der Philosophischen Fakultät oder des Professional Centers geöffnet. Internationale Masterstudierende haben die Möglichkeit, an einem Deutschkurs teilzunehmen, der vom International Office angeboten wird. Weitere Informationen können auf dieser Homepage nachgelesen werden.

Des Weiteren können auch fachspezifische Kurse in Busines Englisch vom Zentrum für Internationale Beziehungen absolviert werden. Pro Studienabschnitt können WiSo-Studierende kostenfrei einen Kurs belegen. Weitere Informationen sind hier aufgeführt."
69;Wann und wie kann ich ein Auslandssemester in meinem Master absolvieren?;Für ein Auslandssemester im Master solltest du etwa ein Jahr im Voraus mit der Planung beginnen, idealerweise direkt zu Beginn deines Studiums. In der Regel wird das Auslandssemester im 3. oder 4. Fachsemester absolviert. Zentrale Anlaufstelle ist das Zentrum für internationale Beziehungen (ZIB) der WiSo-Fakultät, das dich schon in der Master-Begrüßungsveranstaltung über die wichtigsten Möglichkeiten informiert und auf seiner Homepage ausführliche Hinweise bereithält. Zusätzlich kannst du dich auch über fakultätsübergreifende Angebote anderer Fakultäten oder des International Office der Universität zu Köln informieren.;https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/master/fragen-im-masterstudium;FAQ;medium;"5. Wann und wie kann ich ein Auslandssemester in meinem Master absolvieren?
Das Zentrum für internationale Beziehungen (ZIB) an der WiSo-Fakultät hält dazu viele Informationen und Angebote bereit, die Ihnen bereits bei der Master-Begrüßungsveranstaltung jedes Jahr zu Studienbeginn vorgestellt werden. Wichtige Informationen sind auch auf deren Homepage zu finden. Da die Planungen ca. ein Jahr Vorlaufzeit benötigen, sollten Sie sich direkt zu Beginn Ihres Masterstudiums mit der Option eines Auslandssemesters beschäftigen. In der Regel absolvieren Sie das Auslandssemester im 3. oder 4. Fachsemester. Neben dem ZIB bieten aber auch andere Fakultäten oder das International Office der Universität zu Köln fakultätsübergreifende Angebote für ein Auslandssemester, bei denen Sie sich ebenfalls informieren können."
